dates I C D F E HC HS HP HB IC IS IB
97 2020/06/22 0 20 0 0 0 0 0 0 50 0 0 10
98 2020/06/23 6 26 0 0 0 0 1 1 50 0 0 12
99 2020/06/24 0 26 0 0 0 0 0 0 50 0 0 11
100 2020/06/25 0 26 0 0 0 1 1 2 50 1 0 9
101 2020/06/26 4 30 0 0 0 1 1 2 50 1 0 10
102 2020/06/27 0 30 0 0 0 1 0 1 50 1 0 9
103 2020/06/28 1 31 0 0 0 1 1 2 50 1 0 10
104 2020/06/29 1 32 0 0 0 1 1 2 50 1 0 10
105 2020/06/30 3 35 0 0 0 1 2 3 50 1 1 10
106 2020/07/01 2 37 0 0 0 2 0 2 50 2 0 8
107 2020/07/02 5 42 0 0 0 0 3 3 50 0 2 9
108 2020/07/03 2 44 0 0 0 0 0 0 50 0 0 12
109 2020/07/04 1 45 0 0 0 0 1 1 50 0 0 11
110 2020/07/05 0 45 0 0 0 0 2 2 50 0 1 10
111 2020/07/06 0 45 0 0 0 0 3 3 50 0 2 8
112 2020/07/07 13 58 0 0 0 0 0 0 50 0 0 9
113 2020/07/08 0 58 0 0 0 0 0 0 50 0 0 9
114 2020/07/09 1 59 0 0 0 0 0 0 50 0 0 9
115 2020/07/10 2 61 0 0 0 0 0 0 50 0 0 10
116 2020/07/11 1 62 0 0 0 0 0 0 50 0 0 9
117 2020/07/12 0 62 0 0 0 0 2 2 50 0 0 10
118 2020/07/13 1 63 0 0 0 0 3 3 50 0 2 10
119 2020/07/14 11 74 0 0 0 0 4 4 50 0 3 9
120 2020/07/15 1 75 0 0 0 0 3 3 50 0 3 9
121 2020/07/16 7 82 0 0 0 0 0 0 50 0 0 10
122 2020/07/17 4 86 0 0 0 0 0 0 50 0 0 10
123 2020/07/18 3 89 0 0 0 1 5 6 50 1 3 8
124 2020/07/19 0 89 0 0 0 1 1 2 50 1 0 8
125 2020/07/20 1 90 0 0 0 3 0 3 50 1 0 9
126 2020/07/21 6 96 1 1 0 2 2 4 50 1 1 8
127 2020/07/22 2 98 1 0 0 2 0 2 25 1 0 4
128 2020/07/23 4 102 1 0 0 2 0 2 25 1 0 5
129 2020/07/24 0 102 1 0 0 1 1 2 33 0 1 6
130 2020/07/25 1 103 1 0 0 0 0 0 33 0 0 7
131 2020/07/26 0 103 1 0 0 0 1 1 33 0 1 5
132 2020/07/27 0 103 1 0 0 1 1 2 33 1 1 6
133 2020/07/28 2 105 1 0 0 1 0 1 33 1 0 7
134 2020/07/29 2 107 1 0 0 1 0 1 33 1 0 6
135 2020/07/30 4 111 1 0 0 0 0 0 33 0 0 8
136 2020/07/31 1 112 1 0 0 0 0 0 33 0 0 7
137 2020/08/01 4 116 1 0 0 0 0 0 33 0 0 8
138 2020/08/02 0 116 1 0 0 0 0 0 50 0 0 8
139 2020/08/03 1 117 1 0 0 0 0 0 33 0 0 8
140 2020/08/04 0 116 1 0 1 1 1 2 33 0 0 8
141 2020/08/05 0 116 1 0 0 1 3 4 33 0 3 8
