# 2018
# total:29
# gnuplot 2018.gnuplot

# time kids
18:19 3
18:24 2
18:34 2
18:37 4
18:39 3
19:09 4
19:26 3
19:28 3
19:35 4


# time dogs - simulate stacked, so this value is kids+dogs
18:37 5
